SubDiv,Year,Annual,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Jan-Feb,Mar-May,Jun-Sept,Oct-Dec
ANDAMAN,1990,2183.4,13.4,0.2,24.6,87.5,424.6,291,213.2,293.3,310.4,133.6,291.1,100.3,13.6,536.8,1108,525.1
ANDAMAN,1991,2535.8,14.1,3.8,28,132.9,191.3,165.7,547.2,486.5,489.9,287.6,130.1,58.5,18,352.2,1689.3,476.2
ANDAMAN,1992,2098.7,75.9,10.9,0,5.1,241.7,392,348.2,372.3,323.7,257.3,64.3,7.2,86.8,246.8,1436.2,328.8
ANDAMAN,1993,2237.4,14.9,0,129.9,43.7,181.4,257.1,391.7,226.7,437,299.3,189,66.7,14.9,355,1312.5,555
ANDAMAN,1994,3262.8,7.2,35.5,129.4,154.6,403.2,386.3,569.7,460.5,775.1,137.5,180.3,23.8,42.6,687.2,2191.5,341.5
ANDAMAN,1995,3115.4,51.8,12.5,12.1,21.1,314.8,450.4,501.4,555.8,426.4,294.7,452.9,21.6,64.3,348.1,1933.9,769.2
ANDAMAN,1996,2996.9,52.2,4.8,3.4,122.7,298,559.2,335.5,328,541.6,318.5,254.2,178.8,57,424.1,1764.3,751.5
ANDAMAN,1997,2755.1,9.5,0,0.2,15.6,281.1,199.5,918.5,430.6,440.2,128.7,292.8,38.4,9.5,296.9,1988.8,459.9
ANDAMAN,1998,2846.4,0.9,0,0,0,348.9,600,364.5,258.9,337.8,618.6,227.8,89,0.9,348.9,1561.2,935.4
ANDAMAN,1999,2699.7,46.8,44.6,14.2,270.6,257.4,295,408.5,329.2,325.3,437.5,124.9,145.7,91.4,542.2,1358,708.1
ANDAMAN,2000,2763.2,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,112,812.2,1244.2,594.7
ANDAMAN,2001,3080.9,89,15.7,143.3,30.1,705.3,370.7,341.3,469,334.4,267.6,222.6,91.8,104.7,878.7,1515.4,582
ANDAMAN,2002,2620.2,10.6,0,11.5,100.2,366.7,358.3,317.4,429.8,420,169,306.7,129.9,10.7,478.4,1525.6,605.5
ANDAMAN,2003,2355.9,44.3,7.9,149.2,19.4,296.3,159.9,494.9,379.4,371.9,310.4,74.1,48,52.2,465,1406.1,432.5
ANDAMAN,2004,2460.1,54.5,35.9,36.5,41.6,505.1,423.9,378.9,308.7,280.7,223.9,169.9,0.4,90.4,583.2,1392.2,394.2
ANDAMAN,2005,2954.7,0,0,20.3,51.1,305.3,452.4,429.3,311.1,507.5,293.5,300.1,283.9,0,376.8,1700.4,877.5
ANDAMAN,2006,2404.7,16.3,14.4,48.9,163.7,321.4,366,182.7,219.6,546.5,374.7,76.1,74.4,30.7,534,1314.9,525.2
ANDAMAN,2007,2748,4.9,1.6,5,54.6,370,378.3,463.2,465.3,486.4,209.4,223.9,85.6,6.5,429.6,1793.1,518.9
ANDAMAN,2008,3374.8,9.9,67.7,115.8,216.1,545.5,457.8,511.2,482.1,332,243.7,321.1,72,77.6,877.3,1783.1,636.8
ANDAMAN,2009,2538.6,24.5,6.3,44.2,136.5,313.1,633.5,297.3,351.5,344.7,272.8,66.2,48,30.8,493.7,1627.1,386.9
ANDAMAN,2010,3157.1,101.7,8,0.7,12.5,319,448.9,521.9,563.8,263.3,402.4,268.5,246.4,109.8,332.2,1797.8,917.3
ANDAMAN,2011,3828,265.9,84.8,272.8,111.4,326.5,383.2,583.2,441.5,757.1,212.3,150.8,238.5,350.7,710.7,2165,601.6
ANDAMAN,2012,3497.6,119.9,45.6,30.9,55.8,533.9,458.2,317.3,369.6,868.9,209.7,300.5,187.3,165.6,620.5,2014,697.5
ANDAMAN,2013,3757.8,67.1,37.6,43,46.3,509.3,777,564.8,336.7,473.6,455.8,354.2,92.3,104.7,598.6,2152.1,902.4
ANDAMAN,2014,2622.4,41.9,8.6,0,11.1,238,416.6,467.6,321.6,412.9,402.6,201.2,100.4,50.5,249.1,1618.7,704.2
ANDAMAN,2015,2904.6,126.8,7.6,3.1,138.2,331.9,346.4,328.9,480,523.3,252.1,236.3,129.9,134.4,473.2,1678.6,618.4
ARUNACHAL,1990,3604,54.8,112.4,149,289.9,366.2,857.2,534,352.8,625.5,240.6,2,19.7,167.2,805.1,2369.5,262.3
ARUNACHAL,1991,3434.4,24.9,86,110.7,193.3,423.7,608.3,607.7,603.4,484.5,189,22.2,80.8,110.9,727.7,2303.9,291.9
ARUNACHAL,1992,2707,33.2,128.9,184.6,196.4,239.2,522.9,557.2,294.3,328.2,201.5,11.5,8.9,162.1,620.3,1702.7,221.8
ARUNACHAL,1993,3348.9,95.7,125.4,134.4,130.6,408.3,569.5,619.2,691.9,323.1,228.6,14.7,7.5,221.1,673.3,2203.7,250.8
ARUNACHAL,1994,2287.4,48.2,72.6,215.3,232.1,382.9,416.1,233,280.2,225,161.6,14.1,6.2,120.8,830.3,1154.4,181.9
ARUNACHAL,1995,3068.8,20.6,79.9,84.3,198.8,363.9,686.9,714.5,328.8,425.1,82.4,51,32.6,100.5,647.1,2155.2,166
ARUNACHAL,1996,2520.5,35.7,56.2,163.6,171.4,398.2,316.2,593,372.1,191.2,212.5,9.1,1.4,91.8,733.1,1472.5,223
ARUNACHAL,1997,2274.9,26.2,68.5,158.5,94.7,212.6,548,395.2,237,403.5,58.5,45.9,26.3,94.6,465.8,1583.7,130.7
ARUNACHAL,1998,3616.7,26.7,78.8,193.6,125,275,839.8,823.8,807,236.8,187.2,20.5,2.5,105.6,593.6,2707.4,210.2
ARUNACHAL,1999,2316.6,7.9,6.1,40.4,159.6,343.2,450,376.9,438.1,254,207.9,28.3,4.3,14,543.2,1519,240.4
ARUNACHAL,2000,2596.8,54.1,47.1,139.9,293.8,267.2,459.8,395.4,387.4,407.4,81.3,53.9,9.6,101.2,700.8,1650,144.8
ARUNACHAL,2001,2036,53.1,66.6,134.9,229.9,195.6,277.2,302.6,279.9,288.1,173.8,19.3,14.9,119.7,560.5,1147.8,208
ARUNACHAL,2002,2389.2,74.2,37.2,126.3,248.2,197.1,396.8,604,290.7,257.9,94,45,17.9,111.4,571.6,1549.4,156.9
ARUNACHAL,2003,2451.8,22.9,83.2,109.6,182,173.5,424.3,645.3,327.2,259.9,182.6,25,16.2,106.1,465.2,1656.6,223.9
ARUNACHAL,2004,2545.7,38,39.1,175.5,210.2,298.7,402.9,654.3,243,278.5,184.8,5.6,15.2,77.1,684.3,1578.7,205.6
ARUNACHAL,2005,2335.5,48.4,167.6,229.5,195.3,179.8,269.3,430.8,400,243.6,139.3,28.6,3.3,216,604.6,1343.7,171.2
ARUNACHAL,2006,2259.6,6,103.7,63.3,202.7,321.7,520.4,382.2,227.6,263.2,77.2,69.7,21.7,109.7,587.7,1393.5,168.7
ARUNACHAL,2007,3020.7,13.4,97.4,48.1,292.4,250.4,530.2,761,364.6,529.3,102.6,24.3,6.9,110.8,590.9,2185.1,133.9
ARUNACHAL,2008,2244.4,76.7,39.7,122.6,192.4,185,423.6,456.1,439.3,189.7,115.1,1.7,2.6,116.4,499.9,1508.7,119.4
ARUNACHAL,2009,1749.9,18,92.8,72.1,132.7,189.9,259.1,329.9,370.3,152.5,82.9,33.9,15.9,110.8,394.7,1111.8,132.7
ARUNACHAL,2010,2855.7,0.6,13.2,237.8,466.9,312.7,509.9,378,321.5,444.2,97.7,58.9,14.2,13.9,1017.5,1653.6,170.9
ARUNACHAL,2011,2193.7,40,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2,91.4,634.9,1384.2,83.3
ARUNACHAL,2012,3440.3,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316,724.9,248.1,22,26.2,93.6,724.9,2325.6,296.3
ARUNACHAL,2013,2042.9,18.5,40.5,115.1,175.1,335.8,290,329.6,230.2,316.1,164.1,13.3,14.6,59,626,1165.9,192
ARUNACHAL,2014,2403.2,19,101.9,80.3,86.7,299,415.8,392.4,599.6,343,35.1,20.1,10.2,120.9,466,1750.8,65.4
ARUNACHAL,2015,2767.5,30.8,47.5,97.5,287.1,238.9,637.9,329.3,595.5,374.2,65.2,33.8,29.8,78.3,623.5,1936.9,128.8
ASSAM,1990,2771.2,19.2,46.9,96.7,333.7,304.1,513.8,446.4,348.8,441.1,208.3,7,5.2,66.1,734.4,1750.2,220.5
ASSAM,1991,2838,13.7,30.2,62.1,175.7,495.8,517.8,440.5,388.2,437.3,226.2,9.4,41.1,43.9,733.6,1783.8,276.7
ASSAM,1992,2259.8,14.7,46.3,62,114.5,292.3,450.9,491.4,339.3,296.9,125,14.3,12.1,61.1,468.8,1578.5,151.4
ASSAM,1993,2879.2,73.3,96.9,86.1,138.5,374,619.5,576.9,477.5,296,130.3,8.2,2,170.2,598.6,1969.9,140.5
ASSAM,1994,2121.3,26.6,42.5,157.2,161.3,282,477.6,308.6,308.7,178.5,147,15.9,15.4,69.1,600.5,1273.4,178.3
ASSAM,1995,2886.1,8.7,39.7,42,145.7,299.1,663.3,558.4,543.3,404,80.7,94,7.1,48.5,486.8,2169,181.8
ASSAM,1996,2466.9,12.8,23.2,101.6,99.2,415.6,397.7,499.6,421.8,224.4,267.2,3.5,0.2,36,616.4,1543.5,271
ASSAM,1997,2372.2,18.2,40.7,91.8,131.9,241.8,569.9,511.2,315.5,366.8,36.4,12.6,35.4,58.9,465.6,1763.4,84.3
ASSAM,1998,2803.1,11.8,31.5,136.8,185.7,250.6,581.2,604.4,549.5,212.3,190,48.9,0.4,43.4,573.1,1947.4,239.2
ASSAM,1999,2594.2,2.4,0.5,38.7,150.6,466.8,429,596.7,487.5,196.9,208.6,14.1,2.3,2.9,656.1,1710.2,225
ASSAM,2000,2487,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,34.2,679.5,1666.6,106.6
ASSAM,2001,2178.4,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,45.2,495.8,1413.2,224.2
ASSAM,2002,2392.7,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,25.9,650.2,1589.8,126.8
